round,client_id,num_examples,train_loss,train_time,bandwidth_mbps,latency_ms,network_score,training_score,final_score,loss_change,bit_width,upload_comm_bytes,download_comm_bytes,total_comm_bytes,communication_reduction,estimated_upload_time,estimated_total_time
9,1,12089,0.023527863036924924,320.94170808792114,4.540577255455455,84.11535911019286,0.5337250487716889,0.010970326017332138,0.3246231596699462,0.0013712907521665173,6,168807,900136,1068943,81.24650052880898,0.3815348113125404,321.32324289923366
9,2,11263,0.009051961765007636,319.96558237075806,2.8166435427110468,171.47012457480713,0.32569492341496614,0.01623525985258889,0.20191105799001524,0.0020294074815736113,6,168807,900136,1068943,81.24650052880898,0.6509258950768043,320.61650826583485
9,0,12665,0.005746735962798277,321.5927908420563,8.389022073445064,28.6655965697521,0.8585659485714023,0.0023752610896528997,0.5160896735787026,0.00029690763620661247,6,168807,900136,1068943,81.24650052880898,0.1896445507525985,321.78243539280885
9,4,11800,0.028293682712860205,320.43420457839966,4.686162697094495,20.019254941521947,0.6080121338550927,0.019836411223671302,0.3727418448025241,0.0024795514029589127,6,168807,900136,1068943,81.24650052880898,0.30819875004042385,320.7424033284401
9,3,12183,0.0027958856398677947,321.0619375705719,1.815573736046612,194.08068393722428,0.23300947758603857,0.0025075540909012296,0.14080870818798363,0.0003134442613626537,4,112549,900136,1012685,87.49644498164722,0.6900076640006128,321.75194523457253
10,3,12183,0.0022598469662273484,16.24486494064331,2.2223547114696056,215.70157048183358,0.2398632593210388,0.004288309389123571,0.1456332793482727,0.0005360386736404463,4,112549,900136,1012685,87.49644498164722,0.620853815239641,16.865718755882952
10,2,11263,0.009247118339938642,15.177294492721558,2.4174703186391238,138.93220094089898,0.33029072136383963,0.0015612525994480458,0.19879893385808298,0.00019515657493100573,4,112549,900136,1012685,87.49644498164722,0.5113843436033418,15.6886788363249
10,0,12665,0.005569444494203934,16.985848903656006,8.71420778406974,31.444452733755732,0.878550092151126,0.0014183317487547475,0.5276973879901775,0.00017729146859434344,6,168807,900136,1068943,81.24650052880898,0.18641619927263675,17.17226510292864
10,4,11800,0.025000908896893364,15.98025894165039,7.542879888592607,261.89752841626444,0.5661040637852179,0.026342190527734732,0.35019931448222463,0.0032927738159668415,6,168807,900136,1068943,81.24650052880898,0.4409347157964252,16.421193657446814
10,1,12089,0.02167072298690318,16.157557725906372,6.013016431122593,109.95874716034527,0.6109524030182363,0.014857120400173951,0.3725142899710113,0.0018571400500217439,6,168807,900136,1068943,81.24650052880898,0.3345475231048471,16.492105249011217
